amount,total,price,type
0.0004,43.76580999999998,42949.55,buy
0.00046,43.76626999999998,42949.43,buy
0.00331,43.769579999999976,42947.87,buy
0.00046,43.77003999999997,42946.88,buy
0.0005,43.770539999999976,42946.78,buy
0.00028,43.77081999999997,42946.32,buy
0.03456,43.80537999999997,42945.62,buy
0.01,43.81537999999997,42945.3,buy
0.00675,43.822129999999966,42945.14,buy
0.0101,43.83222999999997,42945.0,buy
0.47169,44.30391999999997,42944.97,buy
0.00026,44.30417999999997,42944.79,buy
0.59068,44.894859999999966,42944.27,buy
0.00277,44.897629999999964,42944.2,buy
0.00024,44.89786999999996,42942.83,buy
0.0506,44.948469999999965,42940.0,buy
0.00026,44.94872999999996,42938.77,buy
0.00129,44.95001999999996,42938.37,buy
0.00255,44.95256999999996,42938.34,buy
3.0898,48.042369999999956,42938.29,buy
0.00052,48.04288999999996,42938.24,buy
0.00289,48.04577999999996,42937.5,buy
0.00046,48.046239999999955,42934.85,buy
0.15606,48.20229999999995,42934.0,buy
0.00026,48.20255999999995,42932.48,buy
0.00199,48.20454999999995,42932.26,buy
0.0035,48.20804999999995,42931.55,buy
0.00046,48.20850999999995,42931.36,buy
0.0101,48.21860999999995,42930.0,buy
0.00116,48.21976999999995,42929.05,buy
0.00049,48.220259999999946,42928.57,buy
0.00048,48.22073999999995,42927.69,buy
0.10646,48.32719999999995,42927.47,buy
0.00078,48.32797999999995,42925.51,buy
0.0039,48.33187999999995,42925.42,buy
0.00087,48.33274999999995,42924.89,buy
0.00272,48.335469999999944,42923.77,buy
0.0003,48.33576999999995,42923.74,buy
0.00194,48.337709999999944,42923.09,buy
0.001,48.33870999999994,42923.07,buy
0.00432,48.34302999999994,42922.81,buy
0.00116,48.34418999999994,42921.63,buy
0.00046,48.34464999999994,42920.96,buy
0.00046,48.345109999999934,42920.29,buy
0.0506,48.39570999999994,42920.0,buy
0.00094,48.39664999999994,42918.97,buy
0.001,48.397649999999935,42918.36,buy
0.58207,48.979719999999936,42918.24,buy
0.0101,48.98981999999994,42915.0,buy
0.00053,48.990349999999935,42914.44,buy
0.00255,48.992899999999935,42913.7,buy
0.00236,48.99525999999994,42913.66,buy
0.00028,48.995539999999934,42913.43,buy
0.00198,48.99751999999994,42913.26,buy
0.00047,48.99798999999994,42913.24,buy
0.00052,48.99850999999994,42912.99,buy
0.00057,48.99907999999994,42912.97,buy
0.00129,49.00036999999994,42912.02,buy
0.0005,49.00086999999994,42910.01,buy
0.00046,49.00132999999994,42910.0,buy
0.00928,49.010609999999936,42909.96,buy
0.00065,49.011259999999936,42909.5,buy
0.00272,49.01397999999993,42909.09,buy
0.00046,49.01443999999993,42909.08,buy
0.00125,49.01568999999993,42909.03,buy
0.00064,49.016329999999925,42908.85,buy
0.00158,49.01790999999992,42908.16,buy
0.00048,49.018389999999926,42907.45,buy
0.00046,49.01884999999992,42906.85,buy
0.0004,49.01924999999992,42906.64,buy
0.01086,49.03010999999992,42905.93,buy
0.00046,49.03056999999992,42905.73,buy
0.0005,49.03106999999992,42905.27,buy
0.0023,49.03336999999992,42903.9,buy
0.00277,49.03613999999992,42901.42,buy
0.00675,49.042889999999915,42901.1,buy
0.0025,49.04538999999991,42901.0,buy
0.09601,49.14139999999991,42900.0,buy
0.00069,49.14208999999991,42898.4,buy
